Issue Type,Summary,Description,Epic Link,Epic Name,Sprint,Assignee,Priority
Epic,Khởi tạo Kiến trúc & Môi trường,Thiết lập Git Flow Backend Laravel 11 Frontend ReactJS Vite Tailwind Google OAuth 2.0 và Gmail SMTP,,Environment Setup,,Dev 1,High
Epic,CSDL Sân bay & Chuyến bay Core,Thiết kế ERD MySQL Seeders dữ liệu thực tế API tìm kiếm chuyến bay đa tiêu chí và thuật toán khóa ghế 10 phút,,Database & Flight Core,,Dev 1,High
Epic,Đặt vé Dịch vụ Check-in & Thanh toán,API Booking PNR Dịch vụ bổ trợ (hành lý suất ăn) Cổng thanh toán mô phỏng & retry Check-in QR Boarding Pass,,Booking & Payment,,Dev 1,Highest
Epic,Trợ lý ảo SkyAI & Hội viên SkyClub,Tích hợp Gemini Flash Vector DB Qdrant RAG tài liệu hàng không API Streaming chatbot phân hệ SkyClub và đổi vé,,SkyAI & Loyalty,,Dev 1,Highest
Epic,Giao diện Khách hàng & Portal Admin,Giao diện React Booking Interactive Seat Map Checkout Check-in QR SkyAI Chat Widget và Admin Management Dashboard,,Frontend & Admin UI,,Dev 2,Highest
Epic,Docker CI/CD Triển khai VPS & Kiểm thử,Docker hóa fullstack CI/CD GitHub Actions Nginx Reverse Proxy SSL VPS kiểm thử Stress Test và E2E test,,DevOps & QA,,Dev 1,Highest
Task,Cấu hình GitHub Repository nhánh main/develop & quy chuẩn Git Flow,Khởi tạo repo AirlineKH thiết lập bảo vệ nhánh main quy định pull request review và chuẩn commit Conventional Commits.,Environment Setup,,Sprint 1,Dev 1,High
Task,Cài đặt Backend Laravel 11 cấu hình Database MySQL và Redis Cache,Thiết lập Laravel 11 trên PHP 8.2 cấu hình file .env kết nối MySQL airline_db kết nối Redis cache cho session và rate limiter.,Environment Setup,,Sprint 1,Dev 1,High
Task,Khởi tạo Frontend ReactJS với Vite 6 Tailwind CSS & React Router DOM,Cấu hình client ReactJS Vite 6 cài đặt Tailwind CSS thiết lập cấu trúc thư mục components/pages và Axios client interceptor.,Environment Setup,,Sprint 1,Dev 2,High
Task,Tích hợp Google OAuth 2.0 & cấu hình Gmail SMTP gửi email tự động,Cấu hình Laravel Socialite xử lý đăng nhập Google lưu user vào database và cấu hình Gmail SMTP gửi email chào mừng.,Environment Setup,,Sprint 1,Dev 1,High
Task,Cấu hình thư viện UI: Phosphor Icons Font Inter/Outfit & ESLint/Prettier,Cài đặt bộ icon @phosphor-icons/react Google Fonts Inter/Outfit thiết lập quy chuẩn ESLint và Prettier format cho toàn team.,Environment Setup,,Sprint 1,Dev 2,Medium
Task,Thiết kế lược đồ Cơ sở dữ liệu ERD hoàn chỉnh trên MySQL,Thiết kế các bảng: airports airplanes seat_classes seats flights bookings booking_passengers ticket_services payments promotions.,Database & Flight Core,,Sprint 2,Dev 1,Highest
Task,Xây dựng DatabaseSeeder cho Sân bay 50+ Chuyến bay và sơ đồ máy bay,Tạo seeder dữ liệu sân bay VN/Quốc tế 50+ chuyến bay thực tế theo ngày và ma trận ghế cho tàu bay Boeing 787 và Airbus A321.,Database & Flight Core,,Sprint 2,Dev 1,High
Story,Xây dựng API Tìm kiếm & Lọc chuyến bay thời gian thực (GET /api/flights),Tìm kiếm chuyến bay một chiều/khứ hồi theo ngày điểm đi/đến số lượng hành khách bộ lọc theo giá vé giờ cất cánh và hãng bay.,Database & Flight Core,,Sprint 2,Dev 1,Highest
Story,Xây dựng API Sơ đồ ghế & Thuật toán Khóa ghế tạm thời 10 phút (Lock Seat),API GET /api/flights/{id}/seats trả về ma trận ghế. Xây dựng cơ chế khóa ghế tạm 10 phút qua Redis/Database lock tránh xung đột chọn trùng.,Database & Flight Core,,Sprint 2,Dev 1,Highest
